"","APMC","Commodity","Year","V1"
"1","Nashik","Raddish",2015,1.82156711324424
"2","Ramtek","Jack Fruit",2015,1.67657799517004
"3","Pune-Pimpri","Coriander",2016,1.65317183341014
"4","Akluj","Coriander",2016,1.59621775808048
"5","Chandrapur","Orange",2016,1.41035486233933
"6","Ramtek","Jambhul",2015,1.37699741599486
"7","Barshi","Custard Apple",2014,1.32297397770386
"8","Vita","Brinjal",2016,1.2458907703016
"9","Junnar (Narayangaon)","Tomato",2016,1.22609935441779
"10","Vita","Ladies Finger",2016,1.19612776789559
"11","Kolhapur-Malkapur","Cucumber",2016,1.18856505591697
"12","Akluj","Shepu",2016,1.18624539823969
"13","Kolhapur-Malkapur","Bitter Gourd",2016,1.17451634841155
"14","Vita","Tomato",2016,1.16187598487944
"15","Barshi","Shevga",2016,1.13775528801464
"16","Vita","Onion",2016,1.13653299141571
"17","Vita","Potato",2016,1.13220073955406
"18","Barshi","Chillies(Red)",2016,1.1300986937704
"19","Kalyan","Coriander",2015,1.11116779900743
"20","Junnar-Otur","Bitter Gourd",2016,1.09994388184574
"21","Kolhapur-Malkapur","Coriander",2016,1.07267706977054
"22","Vita","Green Chilli",2016,1.06593901446929
"23","Pune-Manjri","Goosefoot",2014,1.05314611309979
"24","Ramtek","Spinach",2015,1.0428187991928
"25","Jalna","Pomegranate",2014,1.02408568309776
"26","Ramtek","Coriander",2015,1.01642629551782
"27","Kolhapur","Squash Gourd",2015,1.0148792922272
"28","Ramtek","Mango",2015,1.00237394209292
"29","Ramtek","Cabbage",2015,0.974848074872493
"30","Kolhapur-Malkapur","Snake Gourd",2016,0.969292441626503
"31","Barshi","Capsicum",2015,0.96704292542327
"32","Pune-Manjri","Beet Root",2016,0.942809041582063
"33","Pune","Squash Gourd",2015,0.938102070295811
"34","Ramtek","Cucumber",2016,0.894718302045232
"35","Pune-Manjri","Hemp",2014,0.885760086836652
"36","Narkhed","Orange",2016,0.884321107573896
"37","Pune-Pimpri","Spinach",2016,0.879378171585689
"38","Ramtek","Chavli (Shenga )",2015,0.877840595402396
"39","Narkhed","Orange",2015,0.876814668903586
"40","Ramtek","Ground Nut Pods (Dry)",2015,0.872073225771495
"41","Pune-Manjri","Harbara(Bhaji)",2016,0.870948596339528
"42","Ramtek","Wal Bhaji",2015,0.868956810991968
"43","Phaltan","Green Chilli",2016,0.865654833191859
"44","Pune-Pimpri","Raddish",2016,0.858376504241691
"45","Dondaicha","Cowpea",2016,0.857613748421991
"46","Rahata","Math (Bhaji)",2016,0.848528137423857
"47","Chandrapur","Flower",2016,0.848528137423857
"48","Akluj","Coriander",2014,0.848528137423857
"49","Pathari","Green Gram",2014,0.846539205370124
"50","Ramtek","Onion",2015,0.840991873191296
"51","Nandurbar","Horse Gram",2015,0.83877259089946
"52","Kalyan","Banana",2015,0.832945804204826
"53","Chandrapur","Cabbage",2016,0.818755220321266
"54","Vaijapur","Tamarind",2015,0.809848792128183
"55","Solapur","Methi (Bhaji)",2015,0.808122035641769
"56","Junnar-Otur","Green Chilli",2016,0.807613076365147
"57","Sangamner","Tomato",2014,0.806241541089007
"58","Ramtek","Tomato",2015,0.804815132704253
"59","Kalyan","Banana",2016,0.803275181915136
"60","Barshi","Squash Gourd",2016,0.801288280117825
"61","Kalyan","Orange",2015,0.800521828637737
"62","Aurangabad","Coriander",2015,0.800167707953081
"63","Ramtek","Green Chilli",2015,0.795278832246045
"64","Ramtek","Brinjal",2015,0.792213861610011
"65","Ramtek","Coriander (Dry)",2015,0.792037962041988
"66","Shahapur","Shevga",2016,0.789981342613213
"67","Vai","Coriander",2016,0.788250182306315
"68","Shrirampur","Coriander",2015,0.787295821622217
"69","Khed","Kanda Pat",2016,0.785674201318386
"70","Palus","Green Chilli",2016,0.784018969257895
"71","Shirpur","Chillies(Red)",2016,0.780407126143327
"72","Pandharpur","Tomato",2016,0.775588676671479
"73","Palus","Ghevda",2016,0.76263872735303
"74","Chandrapur","Tomato",2016,0.76149961050859
"75","Akluj","Spinach",2016,0.76149961050859
"76","Akluj","Water Melon",2014,0.756439812432121
"77","Kamthi","Mango",2015,0.754389101863105
"78","Pune-Pimpri","Small Gourd",2016,0.751977889839523
"79","Kolhapur-Malkapur","Cluster Bean",2016,0.751368433992102
"80","Ramtek","Ladies Finger",2015,0.747163731569175
"81","Khed (Shel Pimpalgaon)","Shevga",2016,0.737850554281615
"82","Osmanabad","Tomato",2016,0.736890615896727
"83","Pune-Manjri","Onion",2015,0.735522558750657
"84","Pune-Manjri","Ambat Chuka",2016,0.732273223286285
"85","Solapur","Grapes",2015,0.731502721834309
"86","Manchar","Methi (Bhaji)",2016,0.726748636219507
"87","Sangli-Phale Bhajipalam","Mango",2016,0.724251418873064
"88","Vai","French Bean",2016,0.721838172461267
"89","Kannad","Onion",2015,0.721730112685222
"90","Kamthi","Spinach",2016,0.715599650385614
"91","Kej","Coriander (Dry)",2015,0.71033401567405
"92","Manchar","Coriander",2016,0.709879748955907
"93","Akluj","Math (Bhaji)",2016,0.709716031301627
"94","Ramtek","Lemon",2015,0.708584747210459
"95","Shirur","Chillies(Red)",2015,0.707106781186548
"96","Ramtek","Potato",2015,0.705199016254509
"97","Aurangabad","Papai",2016,0.704758903957546
"98","Manchar","Bitter Gourd",2016,0.702803386353979
"99","Barshi","Coriander",2015,0.702465660593863
"100","Pathari","Bajri",2014,0.701849481698172
"101","Pune-Manjri","Guava",2015,0.698064896281369
"102","Pune","Lemon",2016,0.694921395571446
"103","Karad","Squash Gourd",2015,0.693084833684265
"104","Shrirampur","Mango(Raw)",2015,0.68979635109778
"105","Nashik","Squash Gourd",2015,0.68883193247644
"106","Digras","Sorgum(Jawar)",2014,0.687774118569185
"107","Kolhapur-Malkapur","Capsicum",2016,0.685720676101026
"108","Kolhapur","Orange",2015,0.683534678498253
"109","Junnar-Otur","Capsicum",2016,0.683108822223564
"110","Amarawati-Fruit And Vegetables","Green Chilli",2016,0.682809222151459
"111","Ramtek","Garlic",2015,0.681678062716472
"112","Pune-Manjri","Rajgira",2015,0.681402356240269
"113","Barshi","Water Melon",2016,0.677650864399523
"114","Kolhapur-Malkapur","Tomato",2016,0.676000763705085
"115","Manmad","Flower",2016,0.674965563859886
"116","Khed-Chakan","Tomato",2016,0.673056078101601
"117","Nashik","Mango",2016,0.670920031696129
"118","Nagpur","Lemon",2016,0.668192955621342
"119","Ratanagari","Green-Peas",2015,0.666870820098871
"120","Shrirampur","Math (Bhaji)",2016,0.665512264646162
"121","Junnar-Otur","Ladies Finger",2016,0.66336777895346
"122","Ramtek","Ginger (Fresh)",2015,0.662747911769227
"123","Barshi","Tamarind",2014,0.659114422385407
"124","Nampur","Pomegranate",2016,0.658669504212685
"125","Junnar (Narayangaon)","Coriander",2016,0.658195844513777
"126","Ghoti","Cucumber",2014,0.652914552512361
"127","Mumbai","Chavli (Shenga )",2015,0.652713951864505
"128","Kamthi","Tomato",2016,0.650966397258789
"129","Kolhapur-Malkapur","Cabbage",2016,0.650664592017884
"130","Navapur","Tomato",2016,0.649819889347272
"131","Pune-Manjri","Kardai",2015,0.649245787743412
"132","Solapur","Papai",2016,0.648377804482579
"133","Karad","Tomato",2016,0.647687418003125
"134","Sangli-Phale Bhajipalam","Water Melon",2016,0.645883068437591
"135","Barshi","Matki",2016,0.645656357964616
"136","Amarawati-Fruit And Vegetables","Orange",2016,0.641942970001177
"137","Pune-Moshi","Tomato",2016,0.641191185663806
"138","Islampur","Green Chilli",2016,0.640508177213063
"139","Ahmednagar","Squash Gourd",2016,0.634573253013838
"140","Manchar","Shevga",2016,0.633972384606258
"141","Ahmednagar","Horse Gram",2016,0.630091590173268
"142","Malkapur","Chillies(Red)",2014,0.6295531342177
"143","Kalyan","Small Gourd",2014,0.629447654929065
"144","Nashik-Devlali","Spinach",2016,0.625416880711311
"145","Kalyan","Apple",2016,0.62470769745475
"146","Kalmeshwar","Coriander",2015,0.62429530311445
"147","Khed","Brinjal",2016,0.623219356939357
"148","Chandrapur-Ganjwad","Green Chilli",2016,0.622126017465015
"149","Solapur","Coriander",2015,0.620249170380487
"150","Kamthi","Methi (Bhaji)",2015,0.620075540375411
"151","Osmanabad","Sweet Potato",2015,0.618360124327888
"152","Khed (Shel Pimpalgaon)","Cucumber",2016,0.618357953302584
